wallet_address,amount_raw,amount_ui
E9Zuou7Mr4vFUXu3MRupiNjKia3TdargBhZhDYPoZKac,16449675679468,16449675.679468
5mZ4yd6TuZuo7ffuxD2zxzdnQYoFkfSKXFMs7dYGBqF1,12067467218493,12067467.218493
4MtKw51UtCsF2bBjxcNwYoXJifXXTEt88kKZzdBXpLep,11717445327717,11717445.327717
HdxkiXqeN6qpK2YbG51W23QSWj3Yygc1eEk2zwmKJExp,8564565039512,8564565.039513
AHtr7UfC3p6u2fCpSikRR3PkEjzYZfYAQBt2Trtpi7xb,6864216849025,6864216.849026
7zCzieSUb78uQ4APjTTwNt4kKKLTa22UYVkFQooooM8V,5051212965053,5051212.965053
5YAhFa8CXHtcmtnYqWLnUeBVuCMThviMb9WejXDiUjUG,4887570063134,4887570.063134
8moZjopwrFLR7kTQ1QttcYccXaFW31jjhoqzLWrKaJ9m,4605938968327,4605938.968327
3AWDTDGZiW8joyfA52LKL7GUWLoKBCBUBLUE5JoWgBCu,4344055013804,4344055.013804
AcWAURKHUXHF3zEqR6fje5bGJHdsfd1SyLQmbXqEtf8Y,4111768388771,4111768.388771
34FfD7MKrKsXjdkTPsdCCWEDjHCxDPEDYh61XEU6uimR,4017099728556,4017099.728556
8CYmXbMABjSszw6DPQFHLNp5BEGVB7LRqmuS4Vwkwgq9,3914480497937,3914480.497938
TaZj5wfXJ42uqAeEp4F2Ci8rq21Hqdv8VLnnAhXNuXC,3801276095424,3801276.095424
HMM6RoT2Xo3BNfD5FTNsgFfQZExNDy14PPWMP11ZzT3j,2740046825398,2740046.825399
CYvZb9ccMHxaQ2axLMVodJT3mJgqZNtYTWQzuyu4e4yR,2701620396440,2701620.396440
C1rKVZ2q9NTYvL2SFo9HbLUTZe34EcV3FytsvjwmWhg2,2222285368138,2222285.368138
J5HV8JixZcCXhHbiSGsax3KJA9L7PHCLzsDuUBCXtRmu,2202619125943,2202619.125944
57TyZi37jvBQHmqTUtx94qc5Ub9fLFZDpSsjxEGrzScL,1848626766415,1848626.766416
EWPeikuzEknS8gKVcGVzLtVqwqZYbaRS7C7CZmQnPeph,1828960524220,1828960.524220
DKZd1a96gL2SEa7NyVqfWLeKFfTYQKpXrucXW5jT1xmK,1544723420139,1544723.420139
3iJt7Q84pByF3ChSdkpRUdzRxGCQwFe2NzkPpnqhru1k,1335117118510,1335117.118511
8o5QCoNC3kobLmQYZym1sAzu5ftf1w3f7kLRYFNKY2WZ,1305854781857,1305854.781858
4rD7zGsr7Vs9Mcb9ZECfjPX51FqiYd9Bnqnd1wDuyC8b,1272617184436,1272617.184437
