wallet_address,direct_balance,lp_balance,total_balance,total_ui
HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,82784311379874859,3377774326873549,86162085706748408,86162085.706748411
7f7Wsv8LCnCkpiJ4FbPX5vGVev3KbpYjS3dqAyxVHYfW,33288141663787850,0,33288141663787850,33288141.663787849
F1VYzwbBbMSeD5NjR2TErcfHuRBtbJehUZSUavvSWFY,30500000000000000,0,30500000000000000,30500000.000000000
An5mRHwnUoVDycy7hdVHTpwfRdviijackuurBRsnm7YZ,24130892248353595,0,24130892248353595,24130892.248353597
AdMHm6PefFuofCUBbSdfK8tCpVeAKw7eiEjZFTEJ1W1h,23583714528415351,0,23583714528415351,23583714.528415352
GtxDpQwhbr9ucCv8SWRZDsar9qrUtsGDCgvapBverCpX,23124183833632344,0,23124183833632344,23124183.833632343
DPkKDMUcejSw9ujysGFciE5FLzMXQQeWEXPmtCo7fknX,21699433519444099,0,21699433519444099,21699433.519444101
7qoF97mDoWJQEf59AxxhvdM1XByYu7UweNroAm8Awfte,15735668635166471,0,15735668635166471,15735668.635166472
2MMk7Toe8AZWNjQLMnrsRDBFBcMdtBDCJwyKTFnuToMm,15116081272257168,0,15116081272257168,15116081.272257168
Aw1rq9VSY5SJisufnfmDJ6jAwJNx768EXypU15k8iVoW,14708090475235690,0,14708090475235690,14708090.475235689
EQ1jWWW5myAS7zUWxku9vQKxDQCjW8LW2NFrKoedZJLe,13622851648532407,0,13622851648532407,13622851.648532407
7wHL61XTMPX9se3f7F9JqoDtXaTMfikx8un8xqj57DjZ,13457026445777348,0,13457026445777348,13457026.445777347
3e5UE4T1Giis7npAPxLgAnBrrK2sz2o8xUdXnShSPnE7,13217419168977358,0,13217419168977358,13217419.168977357
C4uaZKciHa7uferN7xGzgKcRxGaG9qZ6wH8XLqExUVqE,13013937716288636,0,13013937716288636,13013937.716288636
GatQry3TzKcAoQkcyPgZjgg38EMQ3TrPpReLE54Hyaku,13002372743458615,0,13002372743458615,13002372.743458616
DHMhgh9sEVuQHNboKsqHmQzJXmofCPN5b4y4ddsf3dK,13000000000000006,0,13000000000000006,13000000.000000006
4Ai8k3JXkGQwAHpJnL23EXm392uNfPoLo7rDzGNA8U8P,12877585669716335,0,12877585669716335,12877585.669716336
4hwPamSooBr5JhxHdcEC21HoxN5HUwYR2hGucLPyZAi8,12561529629578483,0,12561529629578483,12561529.629578484
Ap7PwWv6KavdzuPRvatMfciaZxoLx4Eb7gzgGUMwQb8k,12299610862323662,0,12299610862323662,12299610.862323662
7WXrVYgi2FHrDH57opvDWbiLacQTXYtvg8goALdwn9Um,11964306658777161,0,11964306658777161,11964306.658777161
A9LqDusdHbgHorwFbkv3HAgUu8aLiawsVpeA4awCpta,11847414864273017,0,11847414864273017,11847414.864273015
F41vZ7VTu2R9F9ERvBUti3movLHdCTBV4zCxppFrXB5h,11626540818473331,0,11626540818473331,11626540.818473332
CFLxmPqSQNRF4pP8VXhgTt8xAQLPpenChtjUyycHaZTQ,11418082018917704,0,11418082018917704,11418082.018917704
AVWGubND65nHYrMJRCM9qYYpxvT82sDXpJ9RTqUDHGne,11400408366406704,0,11400408366406704,11400408.366406703
9SUMkTGNJfbLWEFpEfBhHk4b1CL5C9jFhXzyQd4R6yzc,11034829991010883,0,11034829991010883,11034829.991010884
7ceKWWzpFdXtfSp2vwHLDkp87nmjG1y7oRbhU6NXoUsp,10088974189329011,0,10088974189329011,10088974.189329011
FC1e8stprMkb5dWrZNcJsF7aFeWZzsqqTKjuBEb4ASsK,7561414742143238,2000000000000000,9561414742143238,9561414.742143238
ED3DpRTepEfsBqL4UPgfcMfVLSRhHNpYXx379NcR27eb,9551143783365141,0,9551143783365141,9551143.783365140
E3FSnBZy6iCcoDLhDhW5wmRZwGJcAi8vpE33Z8NvK388,9532122826200926,0,9532122826200926,9532122.826200927
4n4BvbfQL5BjkDXFkbmopEui6pMZWJMG57rbhYRs5oi3,8907830832555929,0,8907830832555929,8907830.832555929
AEUrBireYLem4gFtYdSaKPhZicfJ6DZhmAuuaicLwsp5,8070000497932548,564904000000000,8634904497932548,8634904.497932548
Eumtha657bKNHwxxVKixyxsbqgjaueeQrevWVtjgU925,8528868710385301,0,8528868710385301,8528868.710385300
63pVF4DUpccLgLXqwCoXxjK3q2KevdwzfbQNh1LtjY8o,8425902376601713,0,8425902376601713,8425902.376601713
EoE4fNzYwkEzJk4r364RwdX8p7TtxyLKJDRG9sPUq5py,8295707568228041,0,8295707568228041,8295707.568228041
5bZ9XpdVNZYkphHCpLYkkED8pHfzQJPFw5uyznAZsUtF,8000212876176125,0,8000212876176125,8000212.876176125
6ZXowW8p971tdqjd5VeyZegaWvTR1xB5Ug7wcwXFEVzc,7391908892309863,0,7391908892309863,7391908.892309863
Cv8LoZ3UZcQqbmFuuDgn9dBLiGcvP6UNy3CdteC1hfuC,6827000000000000,0,6827000000000000,6827000.000000000
eZ8k5CRHubmyCYjaKsB55Ew4Rdrc2bji9kPANXhZUfp,6720668176847582,0,6720668176847582,6720668.176847582
32uw5MRrH9pqWiYLfHLjSEj4CY33o1bJWhetFxRzY9Mp,6591415634615585,0,6591415634615585,6591415.634615585
BGXVM7DJ52JMRV7QxLfzbRC3m5x5qWKr1ycmY8WrCxWc,5792594658964147,0,5792594658964147,5792594.658964147
BcVMMs1iSRMETapsBAuR1vNnkSYLJPBfWsdk7Lj1BxJe,5507303928278385,0,5507303928278385,5507303.928278385
AEeJUPCiGR3yCoukTh1G58o4LYsUEyzrXtfmfMc2kJMX,5369217680194682,0,5369217680194682,5369217.680194682
AQmCqcWawZ6MyLC2KgXfX2zGZEGZQDyCihZE1qmchg6k,5250093034808696,0,5250093034808696,5250093.034808696
